trade_id,sentiment,direction_taken,results_pips,label,chart_image
38,bullish,buy,60,half_breakeven,Screenshot_20250224_103602_TradingView.jpg
39,bullish,buy,180,half_full,Screenshot_20250225_085641_TradingView.jpg
40,bullish,buy,60,half_breakeven,Screenshot_20250226_105159_TradingView.jpg
41,bearish,sell,180,half_full,Screenshot_20250227_090738_TradingView.jpg
42,bearish,sell,60,half_breakeven,Screenshot_20250228_091310_TradingView.jpg
43,bullish,buy,180,half_full,Screenshot_20250303_105355_TradingView.jpg
44,bullish,buy,180,half_full,Screenshot_20250304_081950_TradingView.jpg
45,bullish,buy,60,half_breakeven,Screenshot_20250305_093641_TradingView.jpg
46,bearish,buy,-40,loss,Screenshot_20250306_085339_TradingView.jpg
47,bullish,buy,60,half_breakeven,Screenshot_20250307_131942_TradingView.jpg
48,bearish,buy,-40,loss,Screenshot_20250310_082942_TradingView.jpg
49,bullish,buy,180,half_full,Screenshot_20250311_090820_TradingView.jpg
50,bullish,buy,180,half_full,Screenshot_20250312_090131_TradingView.jpg
51,bullish,buy,180,half_full,Screenshot_20250313_092052_TradingView.jpg
52,bullish,buy,180,half_full,Screenshot_20250314_091553_TradingView.jpg
53,bullish,buy,180,half_full,Screenshot_20250317_094827_TradingView.jpg
54,bullish,buy,180,half_full,Screenshot_20250318_090328_TradingView.jpg
55,bearish,buy,-40,loss,Screenshot_20250319_081108_TradingView.jpg
56,bearish,buy,-40,loss,Screenshot_20250320_100748_TradingView.jpg
57,bullish,buy,60,half_breakeven,Screenshot_20250321_131050_TradingView.jpg
58,bullish,buy,180,half_full,Screenshot_20250324_103027_TradingView.jpg
59,bullish,sell,-40,loss,Screenshot_20250325_082739_TradingView.jpg
60,bearish,sell,180,half_full,Screenshot_20250326_093219_TradingView.jpg
61,bullish,buy,180,half_full,Screenshot_20250327_100800_TradingView.jpg
62,bearish,buy,-40,loss,Screenshot_20250328_082546_TradingView.jpg
63,bullish,buy,180,half_full,Screenshot_20250331_090751_TradingView.jpg
64,bearish,sell,180,half_full ,Screenshot_20250423_075332_TradingView.jpg
65,bearish,sell,60,half_breakeven,Screenshot_20250428_083944_TradingView.jpg
66,bearish,sell,60,half_breakeven,Screenshot_20250429_085134_TradingView.jpg
67,bearish,sell,60,half_breakeven,Screenshot_20250430_082115_TradingView.jpg
68,bearish,sell,180,half_full,Screenshot_20250501_102947_TradingView.jpg
69,bullish,buy,180,half_full,Screenshot_20250502_083507_TradingView.jpg
70,bullish,buy,180,half_full,Screenshot_20250505_092914_TradingView.jpg
71,bullish,buy,180,half_full,Screenshot_20250506_082616_TradingView.jpg
72,bullish,buy,60,half_breakeven,Screenshot_20250507_083212_TradingView.jpg
73,bearish,sell,60,half_breakeven,Screenshot_20250508_080022_TradingView.jpg
74,bullish,buy,180,half_full,Screenshot_20250509_122738_TradingView.jpg
75,bearish,buy,-40,loss,image0 (1).jpg
76,bullish,buy,60,half_breakeven,Screenshot_20250513_081744_TradingView.jpg
77,bearish,sell,60,half_breakeven,Screenshot_20250514_083543_TradingView.jpg
78,bearish,sell,180,half_full,Screenshot_20250515_083817_TradingView.jpg
79,bearish,sell,180,half_full,Screenshot_20250515_083817_TradingView.jpg
80,bullish,buy,180,half_full,Screenshot_20250519_085136_TradingView.jpg
83,bearish,sell,180,half_full,image4.jpg
84,bullish,buy,60,half_breakeven,image5.jpg
85,bearish,sell,180,half_full,image6.jpg
